Site;Type;Site #;Moment;Dates;Year;Season;2378-TCDD;12378-PCDD;123478-HxCDD;123678-HxCDD;123789-HxCDD;1234678-HpCDD;OCDD;2378-TCDF;12378-PeCDF;23478-PeCDF;123478-HxCDF;123678-HxCDF;234678-HxCDF;123789-HxCDF;1234678-HpCDF;1234789-HpCDF;OCDF;PCB-77;PCB-81;PCB-105;PCB-114;PCB-118;PCB-123;PCB-126;PCB-156;PCB-157;PCB-167;PCB-169;PCB-189;Total TCDF;Total TCDD;Total PeCDF;Total PeCDD;Total HxCDF;Total HxCDD;Total HpCDF;Total HpCDD;DF- TEQ;PCB - TEQ;TOTAL
Penn Nursery;Rural;1;1;06/16 - 07/14;1998;Summer;1,162848925;4,270606899;2,776778957;5,365025563;2,805873456;40,41621556;187,526613;2,172311652;1,881133909;1,786169465;3,540916871;4,187978523;3,384504846;0,677087174;25,55800421;1,393742866;11,86822792;116,4375804;;397,0074693;;994,0002814;;36,41188152;96,64354551;20,21602149;;3,186662255;;65,56922435;14,14900386;52,94640151;25,50330655;78,24348625;58,23391933;39,08345477;135,0131377;9,250286463;3,793667797;13,04395426
Penn Nursery;Rural;1;2;08/18 - 09/15;1998;Summer;0,794158483;4,011244663;2,744603952;4,819642337;3,913835656;33,95076059;157,9278317;1,238809566;1,389291919;1,920996234;3,090551555;3,855584422;3,347504219;0,448858116;21,32254041;1,39544066;11,31950914;63,67053993;;308,1574393;;813,2626227;;4,748770003;53,85779603;11,2936197;;0,388665175;;54,51894753;8,641570491;38,83124311;17,62844135;65,64104971;51,63324614;33,04560115;97,88116575;8,386781375;0,528501154;8,915282529
Penn Nursery;Rural;1;3;11/24 - 12/22;1998;Fall;2,949535926;22,65698684;27,15921915;35,53316084;34,20703187;439,543734;1058,838622;1,76703015;3,419553223;6,080864071;6,790171798;6,012355563;7,583891793;3,117137097;29,93063296;5,332897972;25,27645856;17,21814535;;123,9172099;;353,5489192;;3,497603987;36,84901353;7,072035372;;0,840207911;;75,71021981;59,99363414;64,4936644;160,3028123;72,59039131;486,4451477;57,83414811;1030,055752;44,82367558;0,392330066;45,21600565
Penn Nursery;Rural;1;4;01/26 - 02/23;1999;Winter;0,403767023;2,908250268;3,5076494;6,600254738;6,272239998;126,5428403;757,0254141;3,187969863;2,719727596;4,810392544;5,189153959;4,532634174;6,348237434;2,2897292;25,20589798;3,380660136;34,80756114;48,04043081;;228,5250254;;684,0463021;;4,289197225;35,41431486;7,824058611;;0,802140679;;111,3889516;13,80677289;57,04244968;14,86485332;41,63016966;88,61619734;42,64779985;465,1302944;10,41835764;0,486462277;10,90481991
Penn Nursery;Rural;1;5;03/23 - 04/20;1999;Spring;0,75941457;2,658650787;3,062011051;5,073773864;5,238085089;72,99673112;402,0130236;2,784893312;2,082861708;3,187413825;3,787835592;3,190492911;4,108060534;1,191046441;18,65786147;2,070265447;18,64946396;48,24787775;;253,3164037;;835,7000448;;5,736897018;39,32244724;9,308916674;;0,711268862;;131,370603;7,093934186;49,2155505;15,83014087;50,51100595;84,71153362;27,8816834;260,2219538;8,343842562;0,63398199;8,977824552
Penn Nursery;Rural;1;6;05/18 - 06/15;1999;Spring;0,772772208;2,86242288;2,188296429;4,600736371;3,130094893;49,45685604;319,0118999;2,332731908;1,921472375;2,831613747;3,847184539;4,093374953;4,036561781;0,929079096;22,63142838;1,430504809;16,38056613;76,25430109;;374,7297937;;1247,114997;;8,311399704;52,56773055;12,25723;;0,918903603;;124,4205653;2,504584689;45,24731086;12,84345149;79,77191269;62,01313249;36,03396671;223,3529325;7,893935013;0,916932601;8,810867614
Penn Nursery;Rural;1;7;07/13 - 08/10;1999;Summer;0,913387346;4,504243827;3,538290895;7,273823302;5,458622685;74,87847222;386,8909144;0,933641975;1,209972994;1,747202932;3,315972222;4,31086034;3,810281636;0;37,63551312;1,765528549;44,74103009;87,20534336;;391,2249228;;1238,654032;;6,564911265;73,18528164;16,71296296;;0,470679012;;68,07725694;9,452160494;45,73688272;18,37384259;104,9286265;100,7426698;71,55864198;298,7745949;10,11452527;0,730925347;10,84545062
Penn Nursery;Rural;1;8;08/24 - 09/21;1999;Summer;0,99095777;3,434073782;2,508902866;4,794476674;2,996418079;55,45139304;336,3186715;1,684835957;2,005114062;3,07778603;4,215552359;4,304191488;4,73180604;0,934519574;28,59200551;2,13772651;28,15123359;83,94714199;;423,1271954;;1062,240943;;6,795782024;61,00622725;13,43609932;;0,516946174;;106,3357934;15,61883789;44,16202263;18,21395616;81,48948363;68,48273009;50,15520504;215,3453031;8,996743308;0,750275616;9,747018924
Penn Nursery;Rural;1;9;11/09 - 12/07;1999;Fall;0,463227857;2,368154891;5,994220488;2,970957954;5,93526947;94,43144054;393,4269614;4,966912296;3,546597313;6,639502962;7,45585898;6,420748447;8,471897125;2,296777922;31,76592978;3,873428695;33,31252709;60,95650917;;252,7079902;;768,201416;;6,517555267;42,40340991;10,34648172;;1,349804941;;159,3353562;16,35312816;73,79800607;26,32885421;71,32379714;79,36772143;51,65265135;290,1291721;10,80962566;0,730555105;11,54018077
Penn Nursery;Rural;1;10;01/18 - 02/15;2000;Winter;1,50064808;9,403539954;12,86046349;22,79700928;21,99605997;318,3925771;1325,86703;5,584007815;4,737783885;8,581599687;8,246979037;7,431212582;10,08512888;0,949120809;41,16163261;5,737941546;46,4628798;36,12750571;;205,8213338;;548,3333509;;8,025956542;46,76663139;11,10751227;;1,541806831;;168,4697669;43,48298619;101,7695405;81,75210522;82,36071968;276,0591549;82,36277762;870,9698069;26,68042013;0,876823475;27,5572436
Penn Nursery;Rural;1;11;04/04 - 05/02;2000;Spring;0,333235039;1,699606541;2,112645441;5,137643124;3,665225951;89,08950693;507,0769646;2,821533787;2,234867569;3,38123924;3,937709402;3,521075734;4,931662889;1,181959879;23,21896914;2,484703979;28,41808281;46,66980086;;252,5806562;;745,4428277;;6,026269894;53,17381548;13,0026371;;0,764247781;;103,7698225;11,06182159;44,74156704;11,77035046;42,70405226;60,7167182;42,27088266;392,9272481;7,153785315;0,662147401;7,815932716
Penn Nursery;Rural;1;12;08/22 - 09/19;2000;Summer;1,107819233;4,541089917;2,644455689;5,6546234;4,291650467;55,09307529;272,2008004;2,117750873;1,974149277;2,908801879;3,427556434;4,061341332;4,14407374;0,461860497;21,51812774;1,310054007;16,37107884;68,90715132;;295,2900985;;946,8219682;;5,460587334;42,44271878;9,697828199;;0,521984348;;92,94253056;9,684163687;60,65155022;14,94624293;81,19552249;63,83662368;34,49369963;227,0246824;10,12688957;0,607436557;10,73432613
