id;2378-TCDD_A;12378-PeCDD_A;123478-HxCDD_A;123678-HxCDD_A;123789-HxCDD_A;1234678-HpCDD_A;OCDD_A;2378-TCDF_A;12378-PeCDF_A;23478-PeCDF_A;123478-HxCDF_A;123678-HxCDF_A;234678-HxCDF_A;123789-HxCDF_A;1234678-HpCDF_A;1234789-HpCDF_A;OCDF_A;2378-TCDD_C;12378-PeCDD_C;123478-HxCDD_C;123678-HxCDD_C;123789-HxCDD_C;1234678-HpCDD_C;OCDD_C;2378-TCDF_C;12378-PeCDF_C;23478-PeCDF_C;123478-HxCDF_C;123678-HxCDF_C;234678-HxCDF_C;123789-HxCDF_C;1234678-HpCDF_C;1234789-HpCDF_C;OCDF_C;label
CK-NHW/CKCACAL.XLS_1989-07-13_Run 1;0.0;0.0;0.0;0.0;0.028109627547435;0.238931834153198;0.564300773014758;0.0;0.0;0.0;0.0105411103302881;0.0;0.0105411103302881;0.0;0.0541110330288124;0.0;0.0934645115952214;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACAL.XLS_1989-07-13_Run 2;0.0;0.0;0.0;0.0;0.0;0.165064102564103;0.627136752136752;0.0261752136752137;0.0;0.0;0.0496794871794872;0.0261752136752137;0.0;0.0;0.105769230769231;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACAL.XLS_1989-07-13_Run 3;0.0;0.0;0.00753295668549906;0.0251098556183302;0.0351537978656623;0.0;0.504080351537979;0.0;0.0232266164469554;0.0251098556183302;0.0389202762084118;0.0;0.0307595731324545;0.0;0.310106716886378;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACAL.XLS_1989-07-14_Run 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0743040256358902;0.00240336471059483;0.0;0.00120168235529742;0.0;0.0;0.0;0.0;0.266172641698378;0.0;0.65591828559984;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0194174757281553;0.0;1.0;0.0;0.0;0.0;0.0;0.394596199524941;0.0;1.0;emission
CK-NHW/CKCACAL.XLS_1989-07-14_Run 6;0.0;0.0;0.0;0.0;0.0;0.116352201257862;0.79559748427673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0880503144654088;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACAL.XLS_1989-07-14_Run 7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACALT.XLS_1992-05-08_Run 1;0.0;0.0;0.0;0.0;0.0;0.105774569683509;0.483064963908939;0.105774569683509;0.0483064963908939;0.0513603553581344;0.0362298722931705;0.0274847307051638;0.0295669072737368;0.0;0.0846751804553026;0.0;0.0277623542476402;0.0;0.0;0.0;0.0;0.0;0.614516129032258;1.0;0.0453571428571429;0.0761487964989059;0.0809628008752735;0.148295454545455;0.1125;0.121022727272727;0.0;1.0;0.0;1.0;emission
CK-NHW/CKCACALT.XLS_1992-05-09_Run 2;0.00823852491173009;0.0;0.0;0.0309925460965084;0.0;0.0741467242055708;0.107100823852491;0.36681051392703;0.128089446841899;0.144174185955277;0.0453118870145155;0.0411926245586504;0.0296194586112201;0.0;0.0243232640251079;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCACALT.XLS_1992-05-11_Run 3;0.0;0.0;0.0;0.0234338530482681;0.0;0.0669094077739396;0.0936731708835154;0.301247938256621;0.133818815547879;0.147200697102667;0.0737559518252264;0.0529051131235801;0.0435689166900072;0.0;0.0634861357482961;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCAKAI.XLS_1990-03-09_Run 1;0.0;0.0;0.0;0.0;0.0;0.0804020100502513;0.919597989949749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCAKAI.XLS_1990-03-09_Run 2;0.0;0.0;0.0;0.0;0.0;0.117647058823529;0.882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCAKAI.XLS_1990-03-09_Run 3;0.0;0.0;0.0;0.0;0.0;0.096045197740113;0.903954802259887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1990-10-01_Run 1;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.22;0.0;0.0;0.0;0.06;0.12;0.0;0.1;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-04-28_7554-M23-101;0.0;0.0;0.0;0.0;0.0;0.751686909581646;0.15114709851552;0.0431848852901484;0.0539811066126856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-04-28_7554-M23-102;0.0;0.0;0.0;0.0;0.0;0.0;0.300411522633745;0.205761316872428;0.234567901234568;0.0;0.259259259259259;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-04-28_7554-M23-103;0.0;0.0;0.0;0.0;0.0;0.368159203980099;0.313432835820895;0.114427860696517;0.0;0.0;0.0;0.0;0.0;0.0;0.203980099502488;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-05-02_7554-M23-201;0.0;0.0;0.0;0.0;0.0;0.0;0.336065573770492;0.663934426229508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-05-02_7554-M23-202;0.0;0.0;0.0;0.0;0.0;0.0;0.320574162679426;0.416267942583732;0.0;0.263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARIV.XLS_1995-05-02_7554-M23-203;0.0;0.0;0.0;0.0;0.0;0.0;0.464285714285714;0.214285714285714;0.0;0.321428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARMC.XLS_1990-04-17_Run 1;0.0;0.0;0.0;0.0;0.0;0.0987521321483077;0.897746655893707;0.00350121195798546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMTASH.XLS_1994-09-30_Run 2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCARMC.XLS_1990-04-18_Run 2;0.0;0.0;0.0;0.0;0.0;0.0931545518701482;0.73394495412844;0.0119971771347918;0.0;0.0;0.0;0.0;0.0;0.0;0.0395201129146083;0.0;0.121383203952011;0.0;0.0;0.0;0.0;0.0;0.6;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;emission
CK-NHW/CKCARMC.XLS_1990-04-18_Run 3;0.0;0.0;0.0;0.0;0.0;0.0846620572879921;0.818399887117257;0.0122759983067589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0846620572879921;0.0;0.0;0.0;0.0;0.0;0.545454545454545;1.0;0.54375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;emission
CK-NHW/CKCOHOL.XLS_1995-10-31_HCP-M23-1-01  (1);0.0;0.0;0.0;0.0;0.0;0.218543046357616;0.417218543046358;0.0;0.0;0.0;0.0;0.0;0.0794701986754967;0.0;0.139072847682119;0.0;0.145695364238411;0.0;0.0;0.0;0.0;0.0;0.532258064516129;1.0;0.0;0.0;0.0;0.0;0.0;0.461538461538462;0.0;0.7;0.0;1.0;emission
CK-NHW/CKCOHOL.XLS_1995-10-31_HCP-M23-1-02  (2);0.0;0.0;0.0;0.0;0.0;0.4;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKCOHOL.XLS_1995-11-01_HCP-M23-2-01  (3);0.0;0.0;0.0;0.0;0.0;0.166666666666667;0.222222222222222;0.0;0.0;0.0;0.0833333333333333;0.0;0.0555555555555556;0.0;0.111111111111111;0.0;0.361111111111111;0.0;0.0;0.0;0.0;0.0;0.6;1.0;0.0;0.0;0.0;0.375;0.0;0.25;0.0;1.0;0.0;1.0;emission
CK-NHW/CKCOHOL.XLS_1995-11-01_HCP-M23-2-02  (4);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKFLCEN.XLS_1990-09-24_Run 2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKFLCEN.XLS_1990-09-24_Run 3;0.0;0.0;0.0;0.0;0.0;0.0;0.814814814814815;0.111111111111111;0.0;0.0;0.0;0.0;0.0740740740740741;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKILLON.XLS_Unknown_Run 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKILLON.XLS_Unknown_Run 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKILLON.XLS_Unknown_Run 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKILLON.XLS_Unknown_Run 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-17_Cond. 1, Run 1;0.0;0.00536062378167641;0.00925925925925926;0.01364522417154;0.0126705653021443;0.151072124756335;0.0584795321637427;0.565302144249513;0.0;0.107212475633528;0.0419103313840156;0.0185185185185185;0.0;0.0;0.0126705653021443;0.00389863547758285;0.0;;;;;;;;;;;;;;;;;;emission
Ck-HW&T/HwLs450F/Ckschol2.xls_1992-08-01_205C4R1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-19_Cond. 1, Run 2;0.00228920259442961;0.00877527661198016;0.0118275467378863;0.0190766882869134;0.0103014116749332;0.198397558183899;0.0572300648607402;0.507439908431896;0.0;0.103014116749332;0.0419687142312095;0.0236550934757726;0.0;0.0;0.0122090805036246;0.00381533765738268;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-20_Cond. 1, Run 3;0.0155355682747343;0.0436086127010084;0.0212591986917416;0.0408830744071954;0.0572363041700736;0.14445352957209;0.0490596892886345;0.0;0.0;0.193513218860725;0.272553829381303;0.0599618424638866;0.0;0.0;0.098119378577269;0.00381575361133824;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-20_Cond. 1, Run 4;0.00265604249667995;0.00796812749003984;0.00929614873837982;0.0119521912350598;0.0132802124833997;0.185922974767596;0.0664010624169987;0.544488711819389;0.0;0.0889774236387782;0.0345285524568393;0.0172642762284197;0.0;0.0;0.0132802124833997;0.00398406374501992;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-23_Cond. 2, Run 1;0.0;0.00396275014860313;0.00792550029720626;0.00990687537150783;0.00990687537150783;0.148603130572617;0.0376461264117297;0.673667525262532;0.0;0.0693481276005548;0.0217951258173172;0.00990687537150783;0.0;0.0013869625520111;0.0059441252229047;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-24_Cond. 2, Run 2;0.0;0.00376931775348662;0.0113079532604599;0.0113079532604599;0.0113079532604599;0.169619298906898;0.0471164719185827;0.621937429325292;0.0;0.0829249905767056;0.0226159065209197;0.0113079532604599;0.0;0.0;0.00565397663022993;0.00113079532604599;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-25_Cond. 2, Run 3;0.0;0.0;0.0064;0.0064;0.0064;0.1072;0.0336;0.672;0.0;0.112;0.0256;0.0144;0.0096;0.0;0.0064;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMDLEH.XLS_1995-10-26_Cond. 2, Run 4;0.000702740688685875;0.00632466619817287;0.0140548137737175;0.0133520730850316;0.0147575544624034;0.252986647926915;0.044975404075896;0.520028109627547;0.0;0.084328882642305;0.0267041461700632;0.0147575544624034;0.0;0.0;0.005621925509487;0.00140548137737175;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMTASH.XLS_1994-09-29_Run 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.666666666666667;0.150793650793651;0.182539682539683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
MSW-LAST/Rdf/MSWPAWRE.XLS_1995-03-04_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKMTASH.XLS_1994-09-30_Run 3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKNEASH.XLS_1990-01-01_Run 3 - Bypass;0.0;0.0;0.0;0.0;0.0;0.0;0.609756097560976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.390243902439024;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;emission
CK-NHW/CKNEASH.XLS_1990-01-01_Run 3 - Main;0.0;0.0;0.0;0.0;0.0;0.0;0.477272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.522727272727273;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;emission
CK-NHW/CKTXCAP.XLS_1995-03-06_Alkali Bypass - Run 1;0.0;0.0;0.0252100840336134;0.0420168067226891;0.0336134453781513;0.445378151260504;0.352941176470588;0.0420168067226891;0.00840336134453781;0.0168067226890756;0.0;0.0;0.0;0.0;0.0252100840336134;0.00840336134453781;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-07_Alkali Bypass - Run 2;0.0;0.0;0.0;0.0512820512820513;0.0384615384615385;0.5;0.307692307692308;0.0384615384615385;0.0;0.0;0.0256410256410256;0.0128205128205128;0.0;0.0;0.0256410256410256;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-07_Alkali Bypass - Run 3;0.0;0.0;0.0;0.0377358490566038;0.0377358490566038;0.528301886792453;0.339622641509434;0.0377358490566038;0.0;0.0;0.0;0.0;0.0;0.0;0.0188679245283019;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-08_Dry Kiln - Run 1;0.0;0.0;0.0;0.0447761194029851;0.0298507462686567;0.477611940298507;0.298507462686567;0.0746268656716418;0.0149253731343284;0.0;0.0;0.0149253731343284;0.0149253731343284;0.0;0.0298507462686567;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-08_Dry Kiln - Run 2;0.0;0.00606060606060606;0.0242424242424242;0.0303030303030303;0.0303030303030303;0.393939393939394;0.424242424242424;0.0303030303030303;0.0;0.0;0.0212121212121212;0.00909090909090909;0.0303030303030303;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-09_Dry Kiln - Run 3;0.0;0.0;0.0;0.0352941176470588;0.0;0.352941176470588;0.470588235294118;0.0588235294117647;0.0;0.0;0.0294117647058823;0.0;0.0529411764705882;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-10_Wet Kiln - Run 1;0.0;0.0;0.0;0.0;0.0;0.069851913942442;0.922045264040235;0.0;0.000279407655769768;0.000558815311539536;0.000419111483654652;0.0;0.00125733445096396;0.0;0.00279407655769768;0.0;0.00279407655769768;0.0;0.0;0.0;0.0;0.0;0.505050505050505;1.0;0.0;0.1;0.2;0.1;0.0;0.3;0.0;0.5;0.0;1.0;emission
CK-NHW/CKTXCAP.XLS_1995-03-10_Wet Kiln - Run 2;0.0;0.0;0.0;0.00286532951289398;0.0;0.0744985673352436;0.916905444126074;0.00573065902578797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKTXCAP.XLS_1995-03-11_Wet Kiln - Run 3;0.0;0.000437684648210964;0.0;0.0;0.0;0.0191487033592297;0.935550935550935;0.0125834336360652;0.00164131743079111;0.00273552905131852;0.00328263486158223;0.00164131743079111;0.00218842324105482;0.0;0.00328263486158223;0.0;0.0175073859284386;0.0;0.0533333333333333;0.0;0.0;0.0;0.426829268292683;1.0;0.164285714285714;0.0517241379310345;0.0862068965517241;0.285714285714286;0.142857142857143;0.19047619047619;0.0;0.230769230769231;0.0;1.0;emission
CK-NHW/CKWAASH.XLS_1994-09-26_Run 1;0.0;0.0;0.0;0.0;0.0;0.0;0.916666666666667;0.0833333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKWAASH.XLS_1994-09-26_Run 2;0.0;0.0;0.0;0.0;0.0;0.0;0.536842105263158;0.463157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CKWAASH.XLS_1994-09-27_Run 3;0.060556464811784;0.106382978723404;0.0;0.0376432078559738;0.0310965630114566;0.0523731587561375;0.0949263502454992;0.456628477905074;0.0327332242225859;0.127659574468085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;emission
CK-NHW/CK__CON.XLS_1994-04-06_Run 4;0.0;0.0155763239875389;0.0186915887850467;0.0249221183800623;0.0311526479750779;0.174454828660436;0.277258566978193;0.0778816199376947;0.0498442367601246;0.102803738317757;0.0778816199376947;0.0342679127725857;0.0529595015576324;0.0;0.0529595015576324;0.00934579439252336;0.0;;;;;;;;;;;;;;;;;;emission
