PC6,gemeente,nhh,bsr6et,pBehoudend_x,pCalculerend_x,pIdealistisch_x,pVolgend_x,pGemakzuchtig_x,pSober_x,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,P_HUURWON,P_KOOPWON,WOZWONING,G_GAS_WON,G_ELEK_WON,UITKMINAOW,AFS_SUPERM,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM,STED,pBehoudend_y,pCalculerend_y,pIdealistisch_y,pVolgend_y,pGemakzuchtig_y,pSober_y,segments,seg_name,Adoption Rate,Referentie_2030,Vrijstaande_woning,2_onder_1_kap,Rijwoning_hoek,Rijwoning_tussen,Appartementen,dominant_built_type,Label_A_en_beter,Label_B,Label_C,Label_D,Label_E,Label_F,Label_G,dominant_energy_label,dominant_built_year,dominant_age_group
5211AA,'s-Hertogenbosch,15,Calculerende individualisten,20.0,33.3,0.0,20.0,26.7,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,36.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AB,'s-Hertogenbosch,19,Gemakzuchtige ontplooiers,5.3,21.1,15.8,15.8,36.8,5.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,44.21,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AC,'s-Hertogenbosch,24,Idealistische voortrekkers,0.0,8.3,58.3,8.3,16.7,8.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,21.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AD,'s-Hertogenbosch,18,Idealistische voortrekkers,16.7,11.1,38.9,5.6,11.1,16.7,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,19.17,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AL,'s-Hertogenbosch,6,Gemakzuchtige ontplooiers,0.0,16.7,0.0,16.7,66.7,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,74.17,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AM,'s-Hertogenbosch,36,Gemakzuchtige ontplooiers,5.6,11.1,13.9,8.3,55.6,5.6,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,60.83,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AN,'s-Hertogenbosch,20,Volgende socialen,5.0,10.0,30.0,40.0,15.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,24.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AS,'s-Hertogenbosch,3,Idealistische voortrekkers,0.0,0.0,100.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AT,'s-Hertogenbosch,8,Gemakzuchtige ontplooiers,0.0,25.0,25.0,12.5,37.5,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,48.75,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AV,'s-Hertogenbosch,4,Gemakzuchtige ontplooiers,0.0,25.0,0.0,0.0,75.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,80.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
